Mils, Light_Value, Delay_Value
  268192  , 13  , 235
  268665  , 13  , 235
  269138  , 13  , 235
  269613  , 13  , 235
  270086  , 13  , 235
  270559  , 13  , 235
  271032  , 13  , 235
  271505  , 13  , 235
  271979  , 13  , 235
  272452  , 13  , 235
  272925  , 13  , 235
  273398  , 13  , 235
  273871  , 13  , 235
  274345  , 13  , 235
  274819  , 13  , 235
  275292  , 13  , 235
  275765  , 13  , 235
  276238  , 13  , 235
  276711  , 13  , 235
  277185  , 13  , 235
  277658  , 13  , 235
  278131  , 13  , 235
  278604  , 13  , 235
  279077  , 13  , 235
  279552  , 13  , 235
  280025  , 13  , 235
  280498  , 13  , 235
  280971  , 13  , 235
  281444  , 13  , 235
  281918  , 13  , 235
  282391  , 13  , 235
  282864  , 13  , 235
  283337  , 13  , 235
  283810  , 13  , 235
  284283  , 13  , 235
  284758  , 13  , 235
  285231  , 13  , 235
  285704  , 13  , 235
  286177  , 13  , 235
  286650  , 13  , 235
  287124  , 13  , 235
  287597  , 13  , 235
  288070  , 13  , 235
  288543  , 13  , 235
  289016  , 13  , 235
  289490  , 13  , 235
  289964  , 13  , 235
  290437  , 13  , 235
  290910  , 13  , 235
  291383  , 13  , 235
  291856  , 13  , 235
  292330  , 13  , 235
  292803  , 13  , 235
  293276  , 13  , 235
  293749  , 13  , 235
  294222  , 13  , 235
  294696  , 13  , 235
  295170  , 13  , 235
  295643  , 13  , 235
  296116  , 13  , 235
  296589  , 13  , 235
  297063  , 13  , 235
  297536  , 13  , 235
  298009  , 13  , 235
  298482  , 13  , 235
  298955  , 13  , 235
  299428  , 13  , 235
  299902  , 13  , 235
  300376  , 13  , 235
  300849  , 13  , 235
  301322  , 13  , 235
  301795  , 13  , 235
  302269  , 14  , 214
  302700  , 13  , 235
  303173  , 13  , 235
  303646  , 13  , 235
  304119  , 13  , 235
  304592  , 13  , 235
  305067  , 13  , 235
  305540  , 14  , 214
  305971  , 13  , 235
  306444  , 13  , 235
  306917  , 13  , 235
  307391  , 13  , 235
  307864  , 13  , 235
  308337  , 13  , 235
  308810  , 14  , 214
  309241  , 13  , 235
  309715  , 13  , 235
  310189  , 13  , 235
  310662  , 13  , 235
  311135  , 13  , 235
  311608  , 13  , 235
  312081  , 13  , 235
  312555  , 13  , 235
  313028  , 13  , 235
  313501  , 14  , 214
  313932  , 13  , 235
  314405  , 13  , 235
  314880  , 13  , 235
  315353  , 13  , 235
  315826  , 14  , 214
  316257  , 13  , 235
  316730  , 13  , 235
  317204  , 14  , 214
  317635  , 14  , 214
  318066  , 14  , 214
  318497  , 13  , 235
  318970  , 13  , 235
  319443  , 14  , 214
  319876  , 14  , 214
  320307  , 14  , 214
  320738  , 14  , 214
  321169  , 14  , 214
  321600  , 14  , 214
  322031  , 14  , 214
  322463  , 14  , 214
  322894  , 14  , 214
  323325  , 14  , 214
  323757  , 14  , 214
  324188  , 14  , 214
  324619  , 14  , 214
  325051  , 14  , 214
  325482  , 14  , 214
  325913  , 14  , 214
  326344  , 14  , 214
  326775  , 14  , 214
  327207  , 14  , 214
  327639  , 14  , 214
  328070  , 14  , 214
  328501  , 14  , 214
  328932  , 14  , 214
  329363  , 14  , 214
  329795  , 14  , 214
  330226  , 14  , 214
  330657  , 14  , 214
  331088  , 14  , 214
  331520  , 14  , 214
  331951  , 14  , 214
  332383  , 14  , 214
  332814  , 13  , 235
  333287  , 14  , 214
  333718  , 14  , 214
  334149  , 14  , 214
  334581  , 14  , 214
  335012  , 14  , 214
  335443  , 13  , 235
  335917  , 14  , 214
  336348  , 14  , 214
  336779  , 14  , 214
  337211  , 14  , 214
  337642  , 14  , 214
  338073  , 14  , 214
  338504  , 14  , 214
  338935  , 14  , 214
  339366  , 14  , 214
  339799  , 13  , 235
  340272  , 14  , 214
  340703  , 14  , 214
  341134  , 14  , 214
  341565  , 14  , 214
  341996  , 14  , 214
  342428  , 14  , 214
  342859  , 14  , 214
  343290  , 14  , 214
  343721  , 14  , 214
  344153  , 14  , 214
  344585  , 14  , 214
  345016  , 14  , 214
  345447  , 14  , 214
  345878  , 14  , 214
  346309  , 14  , 214
  346740  , 14  , 214
  347172  , 14  , 214
  347603  , 14  , 214
  348035  , 14  , 214
  348466  , 14  , 214
  348897  , 14  , 214
  349328  , 14  , 214
  349760  , 14  , 214
  350191  , 14  , 214
  350622  , 14  , 214
  351053  , 14  , 214
  351484  , 14  , 214
  351917  , 14  , 214
  352348  , 14  , 214
  352779  , 14  , 214
  353210  , 14  , 214
  353641  , 14  , 214
  354072  , 14  , 214
  354504  , 14  , 214
  354935  , 14  , 214
  355366  , 14  , 214
  355798  , 14  , 214
  356229  , 14  , 214
  356661  , 14  , 214
  357092  , 14  , 214
  357523  , 14  , 214
  357954  , 14  , 214
  358385  , 14  , 214
  358816  , 14  , 214
  359248  , 14  , 214
  359680  , 14  , 214
  360111  , 14  , 214
  360542  , 14  , 214
  360973  , 14  , 214
  361405  , 14  , 214
  361836  , 14  , 214
  362267  , 14  , 214
  362698  , 14  , 214
  363129  , 14  , 214
  363560  , 14  , 214
  363993  , 14  , 214
  364424  , 14  , 214
  364855  , 14  , 214
  365286  , 14  , 214
  365717  , 14  , 214
  366149  , 14  , 214
  366580  , 14  , 214
  367011  , 14  , 214
  367442  , 14  , 214
  367874  , 14  , 214
  368305  , 14  , 214
  368737  , 14  , 214
  369168  , 14  , 214
  369599  , 14  , 214
  370030  , 14  , 214
  370461  , 14  , 214
  370892  , 14  , 214
  371324  , 14  , 214
  371756  , 14  , 214
  372187  , 14  , 214
  372618  , 14  , 214
  373049  , 14  , 214
  373481  , 14  , 214
  373912  , 14  , 214
  374343  , 14  , 214
  374774  , 14  , 214
  375205  , 14  , 214
  375636  , 14  , 214
  376069  , 14  , 214
  376500  , 14  , 214
  376931  , 14  , 214
  377362  , 14  , 214
  377793  , 14  , 214
  378225  , 14  , 214
  378656  , 14  , 214
  379087  , 14  , 214
  379518  , 14  , 214
  379950  , 14  , 214
  380381  , 14  , 214
  380813  , 14  , 214
  381244  , 14  , 214
  381675  , 14  , 214
  382106  , 14  , 214
  382537  , 14  , 214
  382969  , 14  , 214
  383400  , 14  , 214
  383832  , 14  , 214
  384263  , 14  , 214
  384694  , 14  , 214
  385125  , 14  , 214
  385557  , 14  , 214
  385988  , 14  , 214
  386419  , 14  , 214
  386850  , 14  , 214
  387281  , 14  , 214
  387713  , 14  , 214
  388145  , 14  , 214
  388576  , 14  , 214
  389007  , 14  , 214
  389438  , 14  , 214
  389869  , 14  , 214
  390301  , 14  , 214
  390732  , 14  , 214
  391163  , 13  , 235
  391636  , 14  , 214
  392068  , 14  , 214
  392499  , 14  , 214
  392931  , 14  , 214
  393362  , 14  , 214
  393793  , 14  , 214
  394224  , 14  , 214
  394655  , 14  , 214
  395087  , 14  , 214
  395518  , 14  , 214
  395950  , 14  , 214
  396381  , 14  , 214
  396812  , 14  , 214
  397243  , 14  , 214
  397675  , 14  , 214
  398106  , 14  , 214
  398537  , 14  , 214
  398968  , 14  , 214
  399399  , 14  , 214
  399831  , 14  , 214
  400263  , 13  , 235
  400736  , 14  , 214
  401167  , 14  , 214
  401598  , 14  , 214
  402029  , 14  , 214
  402460  , 14  , 214
  402892  , 14  , 214
  403323  , 14  , 214
  403755  , 14  , 214
  404186  , 14  , 214
  404617  , 14  , 214
  405049  , 14  , 214
  405480  , 14  , 214
  405911  , 14  , 214
  406342  , 14  , 214
  406773  , 14  , 214
  407204  , 14  , 214
  407636  , 14  , 214
  408068  , 14  , 214
  408499  , 14  , 214
  408930  , 14  , 214
  409361  , 14  , 214
  409793  , 14  , 214
  410224  , 14  , 214
  410655  , 14  , 214
  411086  , 13  , 235
  411559  , 14  , 214
  411991  , 14  , 214
  412423  , 14  , 214
  412854  , 14  , 214
  413285  , 14  , 214
  413716  , 14  , 214
  414147  , 14  , 214
  414578  , 14  , 214
  415010  , 14  , 214
  415441  , 14  , 214
  415873  , 14  , 214
  416304  , 14  , 214
  416735  , 13  , 235
  417209  , 14  , 214
  417640  , 14  , 214
  418071  , 14  , 214
  418502  , 14  , 214
  418933  , 14  , 214
  419364  , 14  , 214
  419796  , 14  , 214
  420228  , 14  , 214
  420659  , 14  , 214
  421090  , 14  , 214
  421521  , 14  , 214
  421952  , 14  , 214
  422384  , 14  , 214
  422815  , 14  , 214
  423246  , 14  , 214
  423677  , 14  , 214
  424109  , 14  , 214
  424540  , 14  , 214
  424972  , 14  , 214
  425403  , 14  , 214
  425834  , 14  , 214
  426265  , 14  , 214
  426696  , 13  , 235
  427170  , 14  , 214
  427601  , 14  , 214
  428033  , 14  , 214
  428464  , 14  , 214
  428895  , 13  , 235
  429368  , 14  , 214
  429800  , 14  , 214
  430231  , 13  , 235
  430704  , 14  , 214
  431135  , 14  , 214
  431566  , 14  , 214
  431997  , 14  , 214
  432430  , 14  , 214
  432861  , 13  , 235
  433334  , 14  , 214
  433765  , 14  , 214
  434196  , 14  , 214
  434628  , 14  , 214
  435059  , 13  , 235
  435532  , 14  , 214
  435963  , 14  , 214
  436395  , 14  , 214
  436826  , 14  , 214
  437258  , 13  , 235
  437731  , 14  , 214
  438162  , 14  , 214
  438593  , 14  , 214
  439024  , 13  , 235
  439498  , 14  , 214
  439929  , 14  , 214
  440360  , 13  , 235
  440834  , 13  , 235
  441307  , 14  , 214
  441738  , 14  , 214
  442170  , 14  , 214
  442601  , 14  , 214
  443032  , 14  , 214
  443463  , 14  , 214
  443894  , 13  , 235
  444367  , 14  , 214
  444800  , 14  , 214
  445231  , 14  , 214
  445662  , 14  , 214
  446093  , 14  , 214
  446524  , 14  , 214
  446955  , 14  , 214
  447387  , 13  , 235
  447860  , 14  , 214
  448291  , 14  , 214
  448722  , 13  , 235
  449196  , 14  , 214
  449628  , 14  , 214
  450059  , 14  , 214
  450490  , 14  , 214
  450921  , 14  , 214
  451352  , 14  , 214
  451783  , 14  , 214
  452215  , 13  , 235
  452688  , 14  , 214
  453120  , 14  , 214
  453551  , 14  , 214
  453982  , 14  , 214
  454413  , 14  , 214
  454845  , 14  , 214
  455276  , 14  , 214
  455707  , 13  , 235
  456180  , 14  , 214
  456611  , 14  , 214
  457043  , 14  , 214
  457475  , 14  , 214
  457906  , 14  , 214
  458337  , 13  , 235
  458810  , 13  , 235
  459283  , 14  , 214
  459715  , 14  , 214
  460146  , 13  , 235
  460619  , 14  , 214
  461050  , 14  , 214
  461481  , 13  , 235
  461955  , 14  , 214
  462387  , 14  , 214
  462818  , 13  , 235
  463291  , 14  , 214
  463722  , 13  , 235
  464195  , 14  , 214
  464627  , 14  , 214
  465058  , 13  , 235
  465531  , 14  , 214
  465963  , 14  , 214
  466394  , 13  , 235
  466867  , 14  , 214
  467299  , 13  , 235
  467772  , 14  , 214
  468203  , 13  , 235
  468676  , 14  , 214
  469107  , 13  , 235
  469581  , 13  , 235
  470054  , 13  , 235
  470528  , 13  , 235
  471001  , 13  , 235
  471474  , 13  , 235
  471947  , 13  , 235
  472421  , 14  , 214
  472852  , 13  , 235
  473325  , 13  , 235
  473798  , 13  , 235
  474271  , 13  , 235
  474745  , 13  , 235
  475218  , 13  , 235
  475692  , 13  , 235
  476165  , 14  , 214
  476596  , 13  , 235
